Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09
30.228,-8.7658109664916992,-0.3717593252658844,0.36717796325683594,-128.46723937988281,-17.994838714599609,3.0177981853485107,1.7330814599990845,-111.89707946777344,0
30.232,-8.5732851028442383,0.46128672361373901,0.64969587326049805,-127.54886627197266,-16.71099853515625,3.6894576549530029,2.724830150604248,-112.07204437255859,0
30.236,-6.1000609397888184,1.797268271446228,0.98749417066574097,-127.96718597412109,-15.793545722961426,4.0817437171936035,3.3275394439697266,-113.86789703369141,0
30.24,-4.3697090148925781,2.3839035034179688,1.1282373666763306,-128.02734375,-15.11860179901123,4.0308218002319336,3.3658046722412109,-115.44401550292969,0
30.244,-3.3648486137390137,2.2869365215301514,1.0671453475952148,-128.85763549804688,-14.815937995910645,3.7283306121826172,3.0447998046875,-116.275634765625,0
30.248,-1.4146057367324829,2.3181240558624268,1.1566007137298584,-128.31222534179688,-14.687370300292969,3.2115585803985596,2.5031273365020752,-116.52346038818359,0
30.252,-3.2848396301269531,0.5814935564994812,0.44813483953475952,-126.32621002197266,-14.858762741088867,2.2936694622039795,1.6922814846038818,-114.47550964355469,0
30.256,-3.4312701225280762,-0.25143146514892578,0.20581352710723877,-124.74680328369141,-14.972404479980469,1.634224534034729,1.2128398418426514,-112.71297454833984,0
30.26,-3.9042949676513672,-0.72085189819335938,0.33717387914657593,-123.24436950683594,-14.610898971557617,1.4114217758178711,1.1982183456420898,-111.27610778808594,0
30.264,-4.1310791969299316,-0.72325313091278076,0.7287973165512085,-123.91996002197266,-13.97230052947998,1.5817712545394897,1.6788368225097656,-111.08066558837891,0
30.268,-2.4772255420684814,0.20914456248283386,1.6208604574203491,-124.95943450927734,-13.152458190917969,1.8490514755249023,2.2820122241973877,-112.22991943359375,0
30.272,-4.0351090431213379,-0.49187922477722168,1.6899770498275757,-126.23293304443359,-12.750082015991211,1.6675529479980469,2.3402304649353027,-112.6790771484375,0
30.276,-3.7853748798370361,-0.79642409086227417,1.7517051696777344,-128.47062683105469,-12.712199211120605,1.2816009521484375,2.1028876304626465,-114.54130554199219,0
30.28,-4.4572324752807617,-1.5455827713012695,1.515271782875061,-129.40744018554688,-12.673571586608887,0.65366297960281372,1.6219326257705688,-116.22153472900391,0
30.284,-5.4681410789489746,-2.5382659435272217,1.1051120758056641,-129.95429992675781,-12.67652702331543,0.075843550264835358,1.1896884441375732,-116.99539947509766,0
30.288,-4.6143836975097656,-2.8059761524200439,1.291224479675293,-128.499755859375,-12.363838195800781,-0.13065251708030701,1.0618957281112671,-116.96195220947266,0
30.292,-6.7824897766113281,-4.2004446983337402,1.0398906469345093,-126.21706390380859,-12.002859115600586,-0.33238649368286133,0.93199253082275391,-114.93247985839844,0
30.296,-7.0386924743652344,-4.5091948509216309,1.0950744152069092,-125.08024597167969,-11.642576217651367,-0.52363872528076172,0.88263118267059326,-113.64778900146484,0
30.3,-8.192255973815918,-5.0205984115600586,0.93496119976043701,-123.04856872558594,-11.141860961914062,-0.96226674318313599,0.73126286268234253,-112.06463623046875,0
